adm_cd,adm_nm,std_ymd,m_pop,fm_pop
1156061000,서울특별시 영등포구 양평제1동,202202,"8,955","9,410"
1156062000,서울특별시 영등포구 양평제2동,202202,"10,914","11,345"
1156063000,서울특별시 영등포구 신길제1동,202202,"8,840","8,504"
1156065000,서울특별시 영등포구 신길제3동,202202,"8,210","8,405"
1156066000,서울특별시 영등포구 신길제4동,202202,"6,167","6,210"
1156067000,서울특별시 영등포구 신길제5동,202202,"5,128","5,397"
1156068000,서울특별시 영등포구 신길제6동,202202,"9,323","9,735"
1156069000,서울특별시 영등포구 신길제7동,202202,"9,949","9,984"
1156070000,서울특별시 영등포구 대림제1동,202202,"7,225","7,266"
1156071000,서울특별시 영등포구 대림제2동,202202,"5,891","6,057"
1156072000,서울특별시 영등포구 대림제3동,202202,"11,126","11,096"
1156000000,서울특별시 서울특별시 영등포구 ,202203,"185,696","191,044"
1156051500,서울특별시 영등포구 영등포본동,202203,"10,881","10,358"
1156053500,서울특별시 영등포구 영등포동,202203,"15,302","14,121"
1156054000,서울특별시 영등포구 여의동,202203,"15,414","17,443"
1156055000,서울특별시 영등포구 당산제1동,202203,"9,977","10,405"
1156056000,서울특별시 영등포구 당산제2동,202203,"17,626","19,967"
1156058500,서울특별시 영등포구 도림동,202203,"8,980","8,809"
1156060500,서울특별시 영등포구 문래동,202203,"15,928","16,608"
1156061000,서울특별시 영등포구 양평제1동,202203,"8,945","9,394"
1156062000,서울특별시 영등포구 양평제2동,202203,"10,893","11,350"
1156063000,서울특별시 영등포구 신길제1동,202203,"8,864","8,512"
1156065000,서울특별시 영등포구 신길제3동,202203,"8,181","8,378"
1156066000,서울특별시 영등포구 신길제4동,202203,"6,164","6,202"
1156067000,서울특별시 영등포구 신길제5동,202203,"5,103","5,354"
1156068000,서울특별시 영등포구 신길제6동,202203,"9,321","9,735"
1156069000,서울특별시 영등포구 신길제7동,202203,"9,933","10,000"
1156070000,서울특별시 영등포구 대림제1동,202203,"7,189","7,244"
1156071000,서울특별시 영등포구 대림제2동,202203,"5,881","6,049"
1156072000,서울특별시 영등포구 대림제3동,202203,"11,114","11,115"
1156000000,서울특별시 서울특별시 영등포구 ,202204,"185,520","190,945"
1156051500,서울특별시 영등포구 영등포본동,202204,"10,864","10,349"
1156053500,서울특별시 영등포구 영등포동,202204,"15,302","14,128"
1156054000,서울특별시 영등포구 여의동,202204,"15,402","17,438"
1156055000,서울특별시 영등포구 당산제1동,202204,"9,966","10,397"
1156056000,서울특별시 영등포구 당산제2동,202204,"17,651","19,968"
1156058500,서울특별시 영등포구 도림동,202204,"9,003","8,834"
1156060500,서울특별시 영등포구 문래동,202204,"15,895","16,596"
1156061000,서울특별시 영등포구 양평제1동,202204,"8,942","9,408"
1156062000,서울특별시 영등포구 양평제2동,202204,"10,889","11,373"
1156063000,서울특별시 영등포구 신길제1동,202204,"8,840","8,490"
1156065000,서울특별시 영등포구 신길제3동,202204,"8,165","8,343"
1156066000,서울특별시 영등포구 신길제4동,202204,"6,156","6,193"
1156067000,서울특별시 영등포구 신길제5동,202204,"5,071","5,351"
1156068000,서울특별시 영등포구 신길제6동,202204,"9,306","9,742"
1156069000,서울특별시 영등포구 신길제7동,202204,"9,936","9,987"
1156070000,서울특별시 영등포구 대림제1동,202204,"7,168","7,208"
1156071000,서울특별시 영등포구 대림제2동,202204,"5,880","6,049"
1156072000,서울특별시 영등포구 대림제3동,202204,"11,084","11,091"
1156000000,서울특별시 서울특별시 영등포구 ,202205,"185,354","190,936"
1156051500,서울특별시 영등포구 영등포본동,202205,"10,868","10,352"
1156053500,서울특별시 영등포구 영등포동,202205,"15,265","14,141"
1156054000,서울특별시 영등포구 여의동,202205,"15,363","17,405"
1156055000,서울특별시 영등포구 당산제1동,202205,"9,970","10,411"
1156056000,서울특별시 영등포구 당산제2동,202205,"17,608","19,956"
1156058500,서울특별시 영등포구 도림동,202205,"8,990","8,842"
1156060500,서울특별시 영등포구 문래동,202205,"15,890","16,613"
1156061000,서울특별시 영등포구 양평제1동,202205,"8,958","9,396"
1156062000,서울특별시 영등포구 양평제2동,202205,"10,889","11,370"
1156063000,서울특별시 영등포구 신길제1동,202205,"8,848","8,495"
1156065000,서울특별시 영등포구 신길제3동,202205,"8,162","8,347"
1156066000,서울특별시 영등포구 신길제4동,202205,"6,147","6,194"
1156067000,서울특별시 영등포구 신길제5동,202205,"5,067","5,359"
1156068000,서울특별시 영등포구 신길제6동,202205,"9,319","9,735"
1156069000,서울특별시 영등포구 신길제7동,202205,"9,950","9,983"
1156070000,서울특별시 영등포구 대림제1동,202205,"7,115","7,187"
1156071000,서울특별시 영등포구 대림제2동,202205,"5,864","6,049"
1156072000,서울특별시 영등포구 대림제3동,202205,"11,081","11,101"
1156000000,서울특별시 서울특별시 영등포구 ,202206,"185,460","190,977"
1156051500,서울특별시 영등포구 영등포본동,202206,"10,877","10,347"
1156053500,서울특별시 영등포구 영등포동,202206,"15,317","14,164"
1156054000,서울특별시 영등포구 여의동,202206,"15,362","17,384"
1156055000,서울특별시 영등포구 당산제1동,202206,"9,943","10,424"
1156056000,서울특별시 영등포구 당산제2동,202206,"17,593","19,921"
1156058500,서울특별시 영등포구 도림동,202206,"8,995","8,827"
1156060500,서울특별시 영등포구 문래동,202206,"15,895","16,619"
1156061000,서울특별시 영등포구 양평제1동,202206,"8,981","9,397"
1156062000,서울특별시 영등포구 양평제2동,202206,"10,924","11,398"
1156063000,서울특별시 영등포구 신길제1동,202206,"8,863","8,512"
1156065000,서울특별시 영등포구 신길제3동,202206,"8,154","8,326"
1156066000,서울특별시 영등포구 신길제4동,202206,"6,155","6,225"
1156067000,서울특별시 영등포구 신길제5동,202206,"5,070","5,343"
1156068000,서울특별시 영등포구 신길제6동,202206,"9,342","9,757"
1156069000,서울특별시 영등포구 신길제7동,202206,"9,960","9,988"
1156070000,서울특별시 영등포구 대림제1동,202206,"7,102","7,204"
1156071000,서울특별시 영등포구 대림제2동,202206,"5,853","6,031"
1156072000,서울특별시 영등포구 대림제3동,202206,"11,074","11,110"
1156000000,서울특별시 서울특별시 영등포구 ,202207,"185,518","191,143"
1156051500,서울특별시 영등포구 영등포본동,202207,"10,873","10,340"
1156053500,서울특별시 영등포구 영등포동,202207,"15,344","14,224"
1156054000,서울특별시 영등포구 여의동,202207,"15,361","17,367"
1156055000,서울특별시 영등포구 당산제1동,202207,"9,962","10,455"
1156056000,서울특별시 영등포구 당산제2동,202207,"17,598","19,959"
1156058500,서울특별시 영등포구 도림동,202207,"9,009","8,814"
1156060500,서울특별시 영등포구 문래동,202207,"15,873","16,613"
1156061000,서울특별시 영등포구 양평제1동,202207,"8,981","9,418"
1156062000,서울특별시 영등포구 양평제2동,202207,"10,957","11,419"
1156063000,서울특별시 영등포구 신길제1동,202207,"8,844","8,575"
1156065000,서울특별시 영등포구 신길제3동,202207,"8,145","8,348"
1156066000,서울특별시 영등포구 신길제4동,202207,"6,148","6,226"
1156067000,서울특별시 영등포구 신길제5동,202207,"5,060","5,317"
1156068000,서울특별시 영등포구 신길제6동,202207,"9,354","9,745"
1156069000,서울특별시 영등포구 신길제7동,202207,"9,981","9,996"
1156070000,서울특별시 영등포구 대림제1동,202207,"7,108","7,203"
1156071000,서울특별시 영등포구 대림제2동,202207,"5,862","6,027"
1156072000,서울특별시 영등포구 대림제3동,202207,"11,058","11,097"
1156000000,서울특별시 서울특별시 영등포구 ,202208,"185,754","191,541"
1156051500,서울특별시 영등포구 영등포본동,202208,"10,886","10,341"
1156053500,서울특별시 영등포구 영등포동,202208,"15,391","14,282"
1156054000,서울특별시 영등포구 여의동,202208,"15,390","17,386"
1156055000,서울특별시 영등포구 당산제1동,202208,"9,976","10,472"
1156056000,서울특별시 영등포구 당산제2동,202208,"17,557","19,989"
1156058500,서울특별시 영등포구 도림동,202208,"8,992","8,809"
1156060500,서울특별시 영등포구 문래동,202208,"15,845","16,587"
1156061000,서울특별시 영등포구 양평제1동,202208,"8,977","9,426"
1156062000,서울특별시 영등포구 양평제2동,202208,"10,963","11,431"
1156063000,서울특별시 영등포구 신길제1동,202208,"9,337","9,051"
1156065000,서울특별시 영등포구 신길제3동,202208,"8,120","8,338"
1156066000,서울특별시 영등포구 신길제4동,202208,"6,118","6,222"
1156067000,서울특별시 영등포구 신길제5동,202208,"5,030","5,296"
1156068000,서울특별시 영등포구 신길제6동,202208,"9,343","9,714"
1156069000,서울특별시 영등포구 신길제7동,202208,"9,889","9,940"
1156070000,서울특별시 영등포구 대림제1동,202208,"7,079","7,167"
1156071000,서울특별시 영등포구 대림제2동,202208,"5,850","6,018"
1156072000,서울특별시 영등포구 대림제3동,202208,"11,011","11,072"
1156000000,서울특별시 서울특별시 영등포구 ,202209,"185,099","191,117"
1156051500,서울특별시 영등포구 영등포본동,202209,"10,791","10,267"
1156053500,서울특별시 영등포구 영등포동,202209,"15,326","14,276"
1156054000,서울특별시 영등포구 여의동,202209,"15,315","17,318"
1156055000,서울특별시 영등포구 당산제1동,202209,"9,937","10,468"
1156056000,서울특별시 영등포구 당산제2동,202209,"17,468","19,886"
1156058500,서울특별시 영등포구 도림동,202209,"8,947","8,769"
1156060500,서울특별시 영등포구 문래동,202209,"15,807","16,542"
1156061000,서울특별시 영등포구 양평제1동,202209,"8,980","9,427"
1156062000,서울특별시 영등포구 양평제2동,202209,"10,927","11,438"
1156063000,서울특별시 영등포구 신길제1동,202209,"9,526","9,276"
1156065000,서울특별시 영등포구 신길제3동,202209,"8,100","8,312"
1156066000,서울특별시 영등포구 신길제4동,202209,"6,101","6,193"
1156067000,서울특별시 영등포구 신길제5동,202209,"4,985","5,254"
1156068000,서울특별시 영등포구 신길제6동,202209,"9,270","9,674"
1156069000,서울특별시 영등포구 신길제7동,202209,"9,840","9,896"
1156070000,서울특별시 영등포구 대림제1동,202209,"7,041","7,119"
1156071000,서울특별시 영등포구 대림제2동,202209,"5,804","5,992"
