bplc_nm,lcpmt_dt,lon,lat
지에스(GS)25 영등포스타,20160517,126.9119246,37.51125894
GS25 당산NC점,20160519,126.9009913,37.53410739
(주)지앤비벤딩 영등포지점,20160527,126.8930062,37.53543852
(주)코리아세븐 여의도시범아파트점,20160530,126.9378468,37.52026177
(주)코리아세븐 문래아르디세점,20160616,126.8871546,37.52107507
GS25 영등포대신,20160622,126.9160027,37.51162076
(주)코리아세븐 문래하우스디점,20160624,126.886822,37.51604412
GS25 당산현대점,20160630,126.8961227,37.52895314
씨유 여의도KCC점,20160715,126.9212647,37.52955461
GS25 영등포 프레비뉴,20160720,126.9096725,37.50511109
이마트24영등포선유로,20160805,126.8972929,37.53477577
씨유 여의더리브점,20160818,126.9126458,37.51769002
GS25도림제일,20160822,126.9000746,37.50634675
(주)코리아세븐 영등포아트자이점,20160822,126.9001518,37.5103391
한양슈퍼,20160831,126.8905474,37.51425902
대박중국상점,20160909,126.9051325,37.49612176
엠스토아,20161007,126.9210671,37.51419
GS25 영등포역점,20161028,126.906325,37.51595579
하카 전자담배 영등포점,20161108,126.9098617,37.51778152
KC마트,20161202,126.8988003,37.50069435
씨유 영등포리더스점,20161222,126.9104283,37.51848956
지에스25 신길베스트,20161228,126.9117226,37.49710165
CU(씨유) 영등포그랑그루점,20161230,126.9032336,37.51849513
이마트24 영등포KT점,20170104,126.9051819,37.52684783
GS25 당산효성점,20170106,126.9001278,37.53281087
건강기능식품전문점,20170120,126.9038124,37.490487
씨유 CK양평점,20170131,126.8835927,37.5247718
GS25 대방역점,20170202,126.9266717,37.51381751
포스코부동산중개컨설팅,20170208,126.8844507,37.52108563
(주)코리아세븐 여의아일렉스점,20170214,126.9239895,37.52101051
창영 슈퍼,20170216,126.923002,37.51178383
당산시그몰,20170223,126.8973357,37.53571325
씨유 당산양남점,20170223,126.8917018,37.52264053
명진슈퍼,20170303,126.8973324,37.49283256
구피샵 신길점,20170314,126.9103689,37.50700069
씨유 영등포 라이프점,20170316,126.9120835,37.51745959
(주)모빌리언트,20170316,126.8961649,37.49147911
세븐일레븐 영등포 헤스티아점,20170321,126.9106517,37.51713104
(주)티시스 영등포,20170323,126.9133781,37.5210216
