ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2023-12-28 1:40,0:03:06,1.0,1.0,0,0,영등포동2가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.9109532,37.52090385
2023-04-12 12:08,0:03:55,1.1,1.1,0,0,영등포동2가,담배꽁초,기타,야외,쓰레기,126.9106888,37.52158661
2022-05-13 13:50,0:04:06,1.7,1.7,0,0,영등포동2가,용접/ 절단/ 연마,판매/업무시설,일반업무,오피스텔,126.9102502,37.52178324
2023-02-22 14:41,0:04:43,1.7,2.0,0,0,영등포동2가,담배꽁초,기타,야외,쓰레기,126.9129092,37.52212374
2023-04-28 22:37,0:04:54,2.1,2.1,0,0,영등포동2가,미상,판매/업무시설,판매시설,기타 판매시설,126.9119285,37.52248602
2023-08-17 20:18,0:04:28,2.4,2.4,0,0,영등포동2가,음식물 조리중,주거,공동주택,다세대주택,126.9097588,37.52252764
2021-03-23 13:45,0:03:37,2.0,2.0,0,0,영등포동2가,담배꽁초,기타,야외,쓰레기,126.9094269,37.52257595
2022-04-18 19:22,0:03:32,1.6,1.6,0,0,영등포동2가,불씨/불꽃/화원방치,생활서비스,오락시설,노래연습장,126.9099936,37.52283524
2022-04-11 6:33,0:04:01,2.0,2.0,2,0,영등포동7가,미상,생활서비스,일상서비스,고시원(원룸텔),126.9088104,37.52329123
2021-12-27 21:55,0:03:51,1.0,1.0,0,0,영등포동7가,미상,판매/업무시설,일반업무,오피스텔,126.9094312,37.52340676
2023-06-22 19:10,0:02:00,1.6,1.6,0,0,문래동3가,절연열화에 의한 단락,자동차/철도차량,자동차,화물자동차,126.8905415,37.51685634
2022-09-30 21:35,0:05:40,2.3,2.3,0,0,문래동5가,미확인단락,주거,공동주택,아파트,126.8849849,37.51687754
2021-11-16 0:15,0:04:43,2.5,2.5,0,0,문래동5가,절연열화에 의한 단락,산업시설,공장시설,전기/ 전자공업,126.8829002,37.51692649
2023-02-25 16:30,0:05:00,2.2,2.2,0,0,문래동5가,담배꽁초,주거,공동주택,아파트,126.8862985,37.51714614
2023-07-17 23:13,0:04:32,2.0,2.0,1,2,문래동5가,불씨/불꽃/화원방치,주거,공동주택,아파트,126.8862985,37.51714614
2021-12-05 13:25,0:04:25,2.1,2.1,0,0,문래동5가,기기(전기/ 기계 등) 사용.설치부주의,주거,공동주택,아파트,126.8867208,37.51727377
2023-03-09 3:42,0:06:52,5.2,6.1,0,0,문래동5가,교통사고,자동차/철도차량,자동차,화물자동차,126.8819582,37.51786035
2022-02-19 20:30,0:04:01,1.7,1.7,0,0,문래동6가,음식물 조리중,생활서비스,음식점,한식,126.8871533,37.51786723
2023-08-11 18:40,0:04:30,1.8,1.8,0,0,문래동6가,과열/ 과부하,산업시설,공장시설,금속기계 및 기구공업,126.8871533,37.51786723
2023-01-15 1:21,0:04:26,1.9,1.9,0,0,문래동3가,미상,생활서비스,오락시설,노래연습장,126.8892547,37.51803356
2021-08-12 0:19,0:03:52,2.0,2.0,0,0,문래동3가,담배꽁초,기타,야외,쓰레기,126.8961789,37.51475064
2022-12-12 6:35,0:04:17,1.2,1.2,0,0,문래동3가,미상,생활서비스,음식점,한식,126.8948576,37.51492526
2023-01-26 7:22,0:04:22,1.2,1.2,0,0,문래동3가,절연열화에 의한 단락,산업시설,공장시설,금속기계 및 기구공업,126.8949085,37.51513263
2023-12-29 1:59,0:03:16,1.1,1.1,0,0,문래동3가,기타(부주의),기타,도로,기타도로,126.8949437,37.51782765
2023-05-26 16:03,0:03:00,1.1,1.1,0,0,문래동3가,담배꽁초,판매/업무시설,일반업무,기타 일반업무시설,126.8928138,37.51906164
2023-05-25 20:42,0:04:02,1.1,1.1,0,0,문래동3가,담배꽁초,기타,야외,기타야외,126.8927222,37.51925248
2023-02-26 10:41,0:02:05,1.0,1.0,0,0,당산동1가,담배꽁초,주거,공동주택,아파트,126.8959709,37.52082259
2023-10-14 0:45,0:01:02,0.9,0.9,0,0,당산동1가,담배꽁초,기타,야외,쓰레기,126.8965035,37.52144772
